FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
0,4313.569568,7,79933016.54,0.003868574,0.003921569
1,4313.632032,4,79933076.54,0.036802303,0.634297794
2,4313.694528,1,79933136.55,0.024156748,0.019896446
3,4313.757024,0,79933206.54,0.003868574,0.003921569
4,4313.819552,0,79933266.55,0.003868574,0.003921569
5,4313.882016,0,79933326.55,0.003868574,0.003921569
6,4313.944544,0,79933386.55,0.003868574,0.003921569
7,4314.00704,0,79933456.54,0.003868574,0.003921569
8,4314.069536,0,79933516.56,0.003868574,0.003921569
9,4314.132032,0,79933576.56,0.003868574,0.003921569
10,4314.194528,0,79933636.55,0.004056202,0.003921569
11,4314.257024,0,79933706.55,0.003938756,0.003921569
12,4314.31952,0,79933766.55,0.003921569,0.003921569
13,4314.382048,0,79933826.56,0.003921569,0.003921569
14,4314.444544,0,79933886.56,0.003921569,0.003921569
15,4314.50704,0,79933956.55,0.003921569,0.003921569
16,4314.569536,0,79934016.56,0.003921569,0.003921569
17,4314.632032,4,79934076.56,0.034662484,0.630199755
18,4314.694528,1,79934136.57,0.022297655,0.018005515
19,4314.757024,0,79934206.55,0.003868574,0.003921569
20,4314.819552,0,79934266.56,0.003921569,0.003921569
21,4314.882048,0,79934326.57,0.003921569,0.003921569
22,4314.944544,0,79934386.57,0.003921569,0.003921569
23,4315.00704,0,79934456.56,0.003921569,0.003921569
24,4315.069536,0,79934516.57,0.003921569,0.003921569
25,4315.132032,0,79934576.57,0.003921569,0.003921569
26,4315.194528,0,79934636.57,0.004026125,0.003921569
27,4315.257024,0,79934706.56,0.003924433,0.003921569
28,4315.319552,0,79934766.57,0.003921569,0.003921569
29,4315.382048,0,79934826.57,0.003868574,0.003921569
30,4315.444544,0,79934886.58,0.003921569,0.003921569
31,4315.50704,0,79934956.56,0.003921569,0.003921569
32,4315.569536,0,79935016.58,0.003921569,0.003921569
33,4315.632032,4,79935076.56,0.034339506,0.629756127
34,4315.694528,1,79935136.58,0.0222819,0.018028186
35,4315.757024,0,79935206.57,0.003921569,0.003921569
36,4315.819552,0,79935266.58,0.003921569,0.003921569
37,4315.882016,0,79935326.58,0.003921569,0.003921569
38,4315.944544,0,79935386.58,0.003921569,0.003921569
39,4316.00704,0,79935456.57,0.003868574,0.003921569
40,4316.069536,0,79935516.58,0.003921569,0.003921569
41,4316.132032,0,79935576.58,0.003921569,0.003921569
42,4316.194528,0,79935636.58,0.004026841,0.003921569
43,4316.257024,0,79935706.57,0.003923001,0.003921569
44,4316.31952,0,79935766.57,0.003921569,0.003921569
45,4316.382048,0,79935826.59,0.003921569,0.003921569
46,4316.444544,0,79935886.58,0.003921569,0.003921569
47,4316.50704,0,79935956.58,0.003921569,0.003921569
48,4316.569536,0,79936016.59,0.003921569,0.003921569
49,4316.632032,4,79936076.59,0.034282932,0.629460784
