Item1,Item2
0,79933420.108800009
1,79933482.316799998
2,79933544.755199999
3,79933607.142399997
4,79933669.593600005
5,79933732.019199997
6,79933794.662400007
7,79933857.139200002
8,79933919.654400006
9,79933982.182400003
10,79934044.672000006
11,79934107.059200004
12,79934169.728
13,79934232.025600001
14,79934294.617600009
15,79934357.184
16,79934419.558400005
17,79934482.137600005
18,79934544.665600002
19,79934607.232000008
20,79934669.760000005
21,79934732.083200008
22,79934794.611200005
23,79934857.15200001
24,79934919.603200004
25,79934982.144000009
26,79935044.633599997
27,79935107.200000003
28,79935169.664000005
29,79935232.1664
30,79935294.771200001
31,79935357.22240001
32,79935419.750400007
33,79935482.291199997
34,79935544.806400001
35,79935607.206400007
36,79935669.747199997
37,79935732.198400006
38,79935794.828800008
39,79935857.216000006
40,79935919.744000003
41,79935982.348800004
42,79936044.748800009
43,79936107.2896
44,79936169.830400005
45,79936232.422399998
46,79936294.924800009
47,79936357.427200004
48,79936419.916800007
49,79936482.6752
50,79936545.075200006
51,79936607.334399998
52,79936670.003200009
53,79936732.556800008
54,79936795.136000007
55,79936857.369599998
56,79936919.846400008
57,79936982.361599997
58,79937045.030400008
59,79937107.481600001
60,79937170.086400002
61,79937232.384000003
62,79937295.206400007
63,79937357.516800001
64,79937419.96800001
65,79937482.457599998
66,79937545.075200006
67,79937607.552000001
68,79937669.926400006
69,79937732.416000009
70,79937795.174400002
71,79937857.548800007
72,79937919.948799998
73,79937982.464000002
74,79938045.068800002
75,79938107.673600003
76,79938170.086400002
77,79938232.563199997
78,79938295.155200005
79,79938357.644800007
80,79938420.108800009
81,79938482.5088
82,79938545.126400009
83,79938607.552000001
84,79938670.361599997
85,79938732.569600001
86,79938795.200000003
87,79938857.587200001
88,79938920.281599998
89,79938982.566400006
90,79939045.107199997
91,79939107.737599999
92,79939170.278400004
93,79939232.729599997
94,79939295.167999998
95,79939357.657600001
96,79939420.224000007
97,79939482.739200011
98,79939545.190400004
99,79939607.859200001
100,79939670.246399999
101,79939732.736000001
102,79939795.392000005
103,79939857.715200007
104,79939920.192000002
105,79939982.656000003
106,79940045.248000011
107,79940107.699200004
108,79940170.278400004
109,79940232.806400001
110,79940295.270400003
111,79940357.952000007
112,79940420.224000007
113,79940482.816
114,79940545.4208
115,79940607.782399997
116,79940670.361599997
117,79940732.825599998
118,79940795.456
119,79940857.920000002
120,79940920.37120001
121,79940983.001599997
122,79941045.401600003
123,79941107.916800007
124,79941170.470400006
125,79941232.921599999
126,79941295.564800009
127,79941358.016000003
128,79941420.403200001
129,79941482.841600001
130,79941545.497600004
131,79941607.884800002
132,79941670.323200002
133,79941732.91520001
134,79941795.724800006
135,79941857.945600003
136,79941920.435200006
137,79941982.924800009
138,79942045.568000004
139,79942108.13440001
140,79942170.57280001
141,79942232.972800002
142,79942295.513600007
143,79942358.067200005
144,79942420.518399999
145,79942483.136000007
146,79942545.600000009
147,79942608.089599997
148,79942670.656000003
149,79942733.132799998
150,79942795.686400011
151,79942858.124799997
152,79942920.691200003
153,79942983.104000002
154,79943045.69600001
155,79943108.096000001
156,79943170.547200009
157,79943233.075200006
158,79943295.718400002
159,79943358.144000009
160,79943420.684799999
161,79943483.110400006
162,79943545.664000005
163,79943608.243200004
164,79943670.732800007
165,79943733.171200007
166,79943795.801600009
167,79943858.304000005
168,79943920.640000001
169,79943983.155200005
170,79944045.811200008
171,79944108.326399997
172,79944170.71360001
173,79944233.356800005
174,79944295.795200005
175,79944358.33600001
176,79944420.876800001
177,79944483.225600004
178,79944545.907200009
179,79944608.409600005
180,79944670.860799998
181,79944733.350400001
182,79944795.865600005
183,79944858.316799998
184,79944920.755199999
185,79944983.372800007
186,79945045.952000007
187,79945108.428800002
188,79945170.828800008
189,79945233.280000001
190,79945295.846400008
191,79945358.566400006
192,79945420.825599998
193,79945483.443200007
194,79945545.830400005
195,79945608.576000005
196,79945671.027199998
197,79945733.350400001
198,79945795.955200002
199,79945858.380800009
200,79945920.960000008
201,79945983.564800009
202,79946046.028800011
203,79946108.659199998
204,79946170.931199998
205,79946233.446400002
206,79946296.153600007
207,79946358.617600009
208,79946421.056000009
209,79946483.532800004
210,79946546.175999999
211,79946608.588799998
212,79946671.014400005
213,79946733.631999999
214,79946796.032000005
215,79946858.470400006
216,79946921.177600011
217,79946983.539200008
218,79947046.028800011
219,79947108.659199998
220,79947171.071999997
221,79947233.612800002
222,79947296.076800004
223,79947358.681600004
224,79947421.196800008
225,79947483.711999997
226,79947546.227200001
227,79947608.84480001
228,79947671.104000002
229,79947733.580799997
230,79947796.198400006
231,79947858.739200011
232,79947921.2544
233,79947983.603200004
234,79948046.16960001
235,79948109.631999999
236,79948171.302400008
237,79948233.843199998
238,79948296.255999997
239,79948358.848000005
240,79948421.337600008
241,79948483.750400007
242,79948546.380800009
243,79948608.870399997
244,79948671.2192
245,79948733.990400001
246,79948796.275200009
247,79948858.777600005
248,79948921.331200004
249,79948983.936000004
250,79949046.284800008
251,79949108.838400006
252,79949171.2896
253,79949233.804800004
254,79949296.320000008
255,79949358.796800002
256,79949421.363200009
257,79949483.788800001
258,79949546.483199999
259,79949608.870399997
260,79949671.59040001
261,79949733.913599998
262,79949796.351999998
263,79949859.020800009
264,79949921.369599998
265,79949983.872000009
266,79950046.527999997
267,79950109.120000005
268,79950171.596799999
269,79950233.971200004
270,79950296.422399998
271,79950359.104000002
272,79950421.555200011
273,79950483.942400008
274,79950546.483199999
275,79950609.088
276,79950671.564800009
277,79950734.028800011
278,79950796.467200011
279,79950858.9824
280,79950921.5616
281,79950984.025600001
282,79951046.5792
283,79951109.004800007
284,79951171.571199998
285,79951234.048000008
286,79951296.524800003
287,79951359.193599999
288,79951421.619200006
289,79951484.057600006
290,79951546.547200009
291,79951609.088
292,79951671.603200004
293,79951734.195200011
294,79951796.620800003
295,79951859.123199999
296,79951921.766400009
297,79951984.153600007
298,79952046.809600011
299,79952109.120000005
300,79952171.66080001
301,79952234.150399998
302,79952296.716800004
303,79952359.155200005
304,79952421.7984
305,79952484.313600004
306,79952546.688000008
307,79952609.331200004
308,79952671.782399997
309,79952734.208000004
310,79952796.7104
311,79952859.366400003
312,79952921.830400005
313,79952984.281599998
314,79953046.809600011
315,79953109.38880001
316,79953171.891200006
317,79953234.278400004
318,79953296.7808
319,79953359.270400003
320,79953421.772799999
321,79953484.288000003
322,79953546.88000001
323,79953609.292800009
324,79953671.948799998
325,79953734.323200002
326,79953796.851199999
327,79953859.328000009
328,79953922.009599999
329,79953984.563199997
330,79954046.860799998
331,79954109.427200004
332,79954171.96800001
333,79954234.355200008
334,79954297.113600001
335,79954359.603200004
336,79954422.041600004
337,79954484.428800002
338,79954546.918400005
339,79954609.548800007
340,79954671.884800002
341,79954734.5792
342,79954797.094400004
343,79954859.481600001
344,79954921.945600003
345,79954984.665600002
346,79955047.0528
347,79955109.606399998
348,79955171.96800001
349,79955234.457599998
350,79955296.972800002
351,79955359.680000007
352,79955421.990400001
353,79955484.518399999
354,79955547.059200004
355,79955609.523200005
356,79955672.1664
357,79955734.527999997
358,79955797.004800007
359,79955859.571199998
360,79955922.048000008
361,79955984.576000005
362,79956047.091200009
363,79956109.772799999
364,79956172.211199999
365,79956234.636800006
366,79956297.100800008
367,79956359.846400008
368,79956422.118400007
369,79956484.620800003
370,79956547.148800001
371,79956609.638400003
372,79956672.192000002
373,79956734.822400004
374,79956797.158399999
375,79956859.878399998
376,79956922.24000001
377,79956984.883200005
378,79957047.244800001
379,79957109.952000007
380,79957172.262400001
381,79957234.905599996
382,79957297.190400004
383,79957359.73120001
384,79957422.220799997
385,79957484.787200004
386,79957547.430399999
387,79957609.740800008
388,79957672.332800001
389,79957734.7456
390,79957797.3248
391,79957859.776000008
392,79957922.355200008
393,79957984.806400001
394,79958047.334399998
395,79958110.003200009
396,79958172.351999998
397,79958234.803200006
398,79958297.4208
399,79958360
400,79958422.553599998
401,79958484.953600004
402,79958547.520000011
403,79958609.894400001
404,79958672.435200006
405,79958735.027199998
406,79958797.504000008
407,79958859.903999999
408,79958922.40640001
409,79958984.98560001
410,79959047.449600011
411,79959109.939199999
412,79959172.595200002
413,79959234.931199998
414,79959297.446400002
415,79959360.128000006
416,79959422.464000002
417,79959485.158399999
418,79959547.507200003
419,79959609.996800005
420,79959672.627200007
421,79959735.0528
422,79959797.683200002
423,79959859.993600011
424,79959922.71360001
425,79959985.075200006
426,79960047.539200008
427,79960110.092800006
428,79960172.569600001
429,79960235.071999997
430,79960297.715200007
431,79960360.038400009
432,79960422.732800007
433,79960485.273599997
434,79960547.622400001
435,79960610.252800003
436,79960672.704000011
437,79960735.193599999
438,79960797.670400009
439,79960860.108800009
440,79960922.611200005
441,79960985.216000006
442,79961047.654400006
443,79961110.259200007
444,79961172.684799999
445,79961235.200000003
446,79961297.702399999
447,79961360.153600007
448,79961422.822400004
449,79961485.22240001
450,79961547.686400011
451,79961610.419200003
452,79961672.806400001
453,79961735.411200002
454,79961797.7984
455,79961860.377599999
456,79961922.700800002
457,79961985.382400006
458,79962047.769600004
459,79962110.425600007
460,79962172.774400011
461,79962235.302400008
462,79962297.843199998
463,79962360.460800007
464,79962422.796800002
465,79962485.478400007
466,79962547.96800001
467,79962610.393600002
468,79962674.0352
469,79962735.539200008
470,79962797.849600002
471,79962860.364800006
472,79962922.854400009
473,79962985.408000007
474,79963047.859200001
475,79963110.4384
476,79963172.889600009
477,79963235.404799998
478,79963297.894400001
479,79963360.499200001
480,79963423.078400001
481,79963485.414399996
482,79963547.942400008
483,79963610.547200009
484,79963672.998400003
485,79963735.462400004
486,79963798.079999998
487,79963860.44160001
488,79963923.084800005
489,79963985.484800011
490,79964048.025600001
491,79964110.502400011
492,79964173.196800008
493,79964235.66080001
494,79964298.009599999
495,79964360.691200003
496,79964423.091200009
497,79964485.69600001
498,79964548.147200003
499,79964610.585600004
500,79964673.241600007
501,79964735.654400006
502,79964798.092800006
503,79964860.787200004
504,79964923.110400006
505,79964985.638400003
506,79965048.255999997
507,79965110.835199997
508,79965173.3248
509,79965235.635200009
510,79965298.163200006
511,79965360.819200009
512,79965423.283200011
513,79965485.875200003
514,79965548.300800011
515,79965610.662400007
516,79965673.190400004
517,79965735.744000003
518,79965798.361599997
519,79965860.876800001
520,79965923.328000009
521,79965985.740800008
522,79966048.255999997
523,79966110.707200006
524,79966173.235200003
525,79966235.776000008
526,79966298.278400004
527,79966360.895999998
528,79966423.475199997
529,79966485.785600007
530,79966548.339200005
531,79966610.803200006
532,79966673.446400002
533,79966735.974399999
534,79966798.348800004
535,79966861.043200001
536,79966923.404799998
537,79966985.958400011
538,79967048.576000005
539,79967110.886399999
540,79967173.670400009
541,79967235.852799997
542,79967298.444800004
543,79967360.9472
544,79967423.334399998
545,79967486.028800011
546,79967548.390400007
547,79967610.854400009
548,79967673.548800007
549,79967735.923200011
550,79967798.617600009
551,79967861.0176
552,79967923.417600006
553,79967985.996800005
554,79968048.627200007
555,79968110.95040001
556,79968173.465599999
557,79968236.006400004
558,79968298.636800006
559,79968361.139200002
560,79968423.6928
561,79968486.16960001
562,79968548.723200008
563,79968611.212800011
564,79968673.535999998
565,79968736.153600007
566,79968798.681600004
567,79968861.299199998
568,79968923.520000011
569,79968986.227200001
570,79969048.640000001
571,79969111.180800006
572,79969173.619200006
573,79969236.313600004
574,79969298.752000004
575,79969361.2544
576,79969423.807999998
577,79969486.208000004
578,79969548.812800005
579,79969611.110400006
580,79969673.715200007
581,79969736.294400007
582,79969798.848000005
583,79969861.22240001
