FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
0,1095.089568,7,76714566.26,0.003868574,0.003921569
1,1095.152032,2,76714636.26,0.017245306,0.059242034
2,1095.214528,1,76714696.27,0.029760524,0.040217525
3,1095.277024,0,76714756.27,0.003868574,0.003921569
4,1095.33952,0,76714816.26,0.003868574,0.003921569
5,1095.402048,0,76714886.26,0.003868574,0.003921569
6,1095.464544,0,76714946.26,0.003868574,0.003921569
7,1095.52704,0,76715006.26,0.003868574,0.003921569
8,1095.589536,0,76715066.28,0.003868574,0.003921569
9,1095.652032,0,76715136.26,0.003868574,0.003921569
10,1095.714528,0,76715196.28,0.003921569,0.003921569
11,1095.777024,0,76715256.28,0.003935891,0.003921569
12,1095.83952,0,76715316.28,0.003921569,0.003921569
13,1095.902048,0,76715386.28,0.003921569,0.003921569
14,1095.964544,0,76715446.28,0.003921569,0.003921569
15,1096.027072,0,76715506.28,0.003921569,0.003921569
16,1096.089568,0,76715566.27,0.003921569,0.003921569
17,1096.152064,2,76715636.28,0.01543491,0.056726103
18,1096.21456,1,76715696.31,0.027895702,0.038199142
19,1096.277056,0,76715756.32,0.003868574,0.003921569
20,1096.339584,0,76715816.34,0.003921569,0.003921569
21,1096.40208,0,76715886.34,0.003921569,0.003921569
22,1096.464576,0,76715946.37,0.003921569,0.003921569
23,1096.527072,0,76716006.37,0.003921569,0.003921569
24,1096.589568,0,76716066.37,0.003921569,0.003921569
25,1096.652064,0,76716136.43,0.003921569,0.003921569
26,1096.71456,0,76716196.43,0.003921569,0.003921569
27,1096.777056,0,76716256.46,0.003922285,0.003921569
28,1096.839584,0,76716316.47,0.003921569,0.003921569
29,1096.90208,0,76716386.46,0.003868574,0.003921569
30,1096.964576,0,76716446.47,0.003921569,0.003921569
31,1097.027072,0,76716506.47,0.003921569,0.003921569
32,1097.089568,0,76716566.46,0.003921569,0.003921569
33,1097.152064,2,76716636.52,0.015457111,0.056332108
34,1097.21456,1,76716696.51,0.027955141,0.038102328
35,1097.277056,0,76716756.51,0.003921569,0.003921569
36,1097.339584,0,76716816.52,0.003921569,0.003921569
37,1097.40208,0,76716886.52,0.003921569,0.003921569
38,1097.464576,0,76716946.52,0.003921569,0.003921569
39,1097.527072,0,76717006.52,0.003868574,0.003921569
40,1097.589568,0,76717066.52,0.003921569,0.003921569
41,1097.652064,0,76717136.52,0.003921569,0.003921569
42,1097.71456,0,76717196.53,0.003921569,0.003921569
43,1097.777056,0,76717256.52,0.003921569,0.003921569
44,1097.839584,0,76717316.52,0.003921569,0.003921569
45,1097.90208,0,76717386.57,0.003921569,0.003921569
46,1097.964576,0,76717446.57,0.003921569,0.003921569
47,1098.027072,0,76717506.57,0.003921569,0.003921569
48,1098.089568,0,76717566.57,0.003921569,0.003921569
49,1098.152064,2,76717636.57,0.015314599,0.055827206
50,1098.21456,1,76717696.6,0.027913605,0.037893382
51,1098.277056,0,76717756.6,0.003921569,0.003921569
