Item1,Item2
0,76714576.345600009
1,76714637.0176
2,76714699.481600001
3,76714761.93280001
4,76714824.524800003
5,76714886.860799998
6,76714949.606399998
7,76715011.891200006
8,76715074.57280001
9,76715137.216000006
10,76715199.603200004
11,76715262.105599999
12,76715324.60800001
13,76715387.059200004
14,76715449.62560001
15,76715512.076800004
16,76715574.464000002
17,76715637.120000005
18,76715699.584000006
19,76715762.124799997
20,76715824.447999999
21,76715887.027199998
22,76715949.631999999
23,76716012.019199997
24,76716074.496000007
25,76716137.024000004
26,76716199.680000007
27,76716262.144000009
28,76716324.723200008
29,76716387.225600004
30,76716449.651199996
31,76716512.089599997
32,76716574.5792
33,76716637.273599997
34,76716699.584000006
35,76716762.24000001
36,76716824.588799998
37,76716887.129600003
38,76716949.772799999
39,76717012.13440001
40,76717074.636800006
41,76717137.31840001
42,76717199.820800006
43,76717262.400000006
44,76717324.633599997
45,76717387.161600009
46,76717449.702399999
47,76717512.20480001
48,76717574.617600009
49,76717637.363200009
50,76717700.032000005
51,76717762.252800003
52,76717824.870399997
53,76717887.206400007
54,76717949.747199997
55,76718012.262400001
56,76718074.892800003
57,76718137.356800005
58,76718199.884800002
59,76718262.540800005
60,76718324.889600009
61,76718387.276800007
62,76718449.856000006
63,76718512.524800003
64,76718574.937600002
65,76718637.439999998
66,76718700.096000001
67,76718762.342399999
68,76718824.857600003
69,76718887.308799997
70,76718949.952000007
71,76719012.723200008
72,76719075.033600003
73,76719137.497600004
74,76719200.089599997
75,76719262.4384
76,76719324.889600009
77,76719387.507200003
78,76719449.920000002
79,76719512.384000003
80,76719574.937600002
81,76719637.350400001
82,76719700.0704
83,76719762.431999996
84,76719825.280000001
85,76719887.513600007
86,76719950.131200001
87,76720012.454400003
88,76720075.200000003
89,76720137.45920001
90,76720200
91,76720262.47680001
92,76720324.979200006
93,76720387.673600003
94,76720450.137600005
95,76720512.512000009
96,76720575.257600009
97,76720637.542400002
98,76720700.172800004
99,76720762.662400007
100,76720825.241600007
101,76720887.564800009
102,76720950.220799997
103,76721012.7104
104,76721075.097599998
105,76721137.702399999
106,76721200.217600003
107,76721262.5792
108,76721325.107199997
109,76721387.852799997
110,76721450.278400004
111,76721512.84480001
112,76721575.334399998
113,76721637.708800003
114,76721700.492799997
115,76721763.020800009
116,76721825.331200004
117,76721887.680000007
118,76721950.220799997
119,76722012.799999997
120,76722075.263999999
121,76722137.779200003
122,76722200.3072
123,76722262.95040001
124,76722325.38880001
125,76722387.9296
126,76722450.368000001
127,76722512.9472
128,76722575.42400001
129,76722637.747199997
130,76722700.480000004
131,76722762.931199998
132,76722826.457599998
133,76722888.051200002
134,76722950.4384
135,76723013.056000009
136,76723075.507200003
137,76723137.958400011
138,76723200.409600005
139,76723262.860799998
140,76723325.580799997
141,76723387.980800003
142,76723450.5088
143,76723512.934400007
144,76723575.488000005
145,76723638.246399999
146,76723700.44160001
147,76723762.944000006
148,76723825.5616
149,76723888.051200002
150,76723950.5792
151,76724013.196800008
152,76724075.545599997
153,76724138.09920001
154,76724200.512000009
155,76724263.142399997
156,76724325.619200006
157,76724388.147200003
158,76724450.496000007
159,76724513.190400004
160,76724575.705600008
161,76724638.067200005
162,76724700.672000006
163,76724763.148800001
164,76724825.664000005
165,76724888.051200002
166,76724950.656000003
167,76725013.196800008
168,76725075.545599997
169,76725138.073600009
170,76725200.729599997
171,76725263.078400001
172,76725325.734400004
173,76725388.262400001
174,76725450.905599996
175,76725513.203199998
176,76725575.73120001
177,76725638.259200007
178,76725700.966399997
179,76725763.148800001
180,76725825.689600006
181,76725888.345600009
182,76725950.809600011
183,76726013.363200009
184,76726075.852799997
185,76726138.329600006
186,76726200.857600003
187,76726263.232000008
188,76726325.939199999
189,76726388.211199999
190,76726450.854400009
191,76726513.267200008
192,76726575.756800011
193,76726638.412799999
194,76726700.889600009
195,76726763.276800007
196,76726825.843199998
197,76726888.447999999
198,76726950.784000009
199,76727013.299199998
200,76727075.96800001
201,76727138.393600002
202,76727200.819200009
203,76727263.475199997
204,76727325.86240001
205,76727388.313600004
206,76727450.854400009
207,76727513.510399997
208,76727575.846400008
209,76727638.425600007
210,76727700.876800001
211,76727763.532800004
212,76727825.907200009
213,76727888.576000005
214,76727951.0528
215,76728013.427200004
216,76728075.916800007
217,76728138.444800004
218,76728201.024000004
219,76728263.411200002
220,76728326.016000003
221,76728388.492799997
222,76728451.532800004
223,76728513.510399997
224,76728576.089599997
225,76728638.502400011
226,76728700.991999999
227,76728763.686399996
228,76728826.073600009
229,76728888.576000005
230,76728951.193599999
231,76729013.606399998
232,76729076.275200009
233,76729138.688000008
234,76729201.190400004
235,76729263.667199999
236,76729326.144000009
237,76729388.60800001
238,76729451.110400006
239,76729513.612800002
240,76729576.140799999
241,76729638.848000005
242,76729701.235200003
243,76729763.801600009
244,76729826.150399998
245,76729888.601600006
246,76729951.257600009
247,76730013.772799999
248,76730076.428800002
249,76730138.841600001
250,76730201.792000011
251,76730263.667199999
252,76730326.182400003
253,76730388.672000006
254,76730451.200000003
255,76730513.676799998
256,76730576.179200009
257,76730638.860799998
258,76730701.363200009
259,76730763.916800007
260,76730826.40640001
261,76730888.883200005
262,76730951.42400001
263,76731013.900800005
264,76731076.390400007
265,76731138.777600005
266,76731201.433600008
267,76731263.89760001
268,76731326.272
269,76731388.774400011
270,76731451.366400003
271,76731513.971200004
