Item1,Item2
0,71719795.6992
1,71719806.4896
2,71719817.3312
3,71719828.4288
4,71719840.512
5,71719850.8672
6,71719861.9776
7,71719873.088
8,71719884.2368
9,71719895.0784
10,71719906.4704
11,71719918.592
12,71719928.4352
13,71719939.7376
14,71719950.912
15,71719962.048
16,71719973.1072
17,71719984.0256
18,71719995.3536
19,71720006.2848
20,71720018.2528
21,71720028.5568
22,71720039.6928
23,71720050.7264
24,71720061.8624
25,71720073.1904
26,71720083.9936
27,71720095.1424
28,71720106.4064
29,71720117.6064
30,71720128.4352
31,71720139.5456
32,71720151.04
33,71720162.048
34,71720173.4144
35,71720184.1536
36,71720195.1488
37,71720206.272
38,71720217.792
39,71720228.6464
40,71720239.936
41,71720250.8032
42,71720261.7728
43,71720273.5232
44,71720284.0448
45,71720295.1936
46,71720306.8928
47,71720317.4144
48,71720328.6912
49,71720339.5968
50,71720350.7584
51,71720362.0608
52,71720372.9792
53,71720384.4992
54,71720395.2
55,71720406.2976
56,71720417.472
57,71720428.928
58,71720439.6544
59,71720450.9056
60,71720462.1184
61,71720472.9472
62,71720484.5952
63,71720495.424
64,71720506.3808
65,71720517.4144
66,71720528.7936
67,71720540.2496
68,71720550.9376
69,71720561.9456
70,71720573.1328
71,71720584.5888
72,71720595.136
73,71720606.4512
74,71720617.8432
75,71720628.7872
76,71720640.2048
77,71720650.752
78,71720662.1056
79,71720673.2288
80,71720684.3264
81,71720695.8336
82,71720706.2144
83,71720717.376
84,71720728.6784
85,71720739.8656
86,71720751.104
87,71720761.9328
88,71720773.248
89,71720784.3968
90,71720795.3792
91,71720806.2848
92,71720817.4208
93,71720828.7744
94,71720839.6544
95,71720850.9952
96,71720861.8496
97,71720873.1264
98,71720884.2752
99,71720895.4368
100,71720906.2784
101,71720917.4016
102,71720928.7808
103,71720939.584
104,71720951.2832
105,71720961.792
106,71720972.9536
107,71720984.0128
108,71720995.2
109,71721006.7712
110,71721017.6512
111,71721028.6336
112,71721039.744
113,71721051.3536
114,71721062.1056
115,71721073.1008
116,71721084.2496
117,71721095.1552
118,71721106.496
119,71721117.3632
120,71721128.5376
121,71721139.6224
122,71721150.784
123,71721162.2656
124,71721173.1712
125,71721184.4736
126,71721195.3536
127,71721206.5024
128,71721217.5872
129,71721228.9536
130,71721240.2048
131,71721251.008
132,71721262.656
133,71721272.9216
134,71721284.1088
135,71721295.2192
136,71721306.3424
137,71721318.208
138,71721328.768
139,71721339.6608
140,71721350.7072
141,71721362.4704
142,71721372.9536
143,71721383.9488
144,71721395.6608
145,71721406.5152
146,71721417.6128
147,71721428.7232
148,71721439.9616
149,71721450.7776
150,71721461.8496
151,71721473.2416
152,71721484.4032
153,71721495.4112
154,71721506.304
155,71721517.7088
156,71721528.5248
157,71721539.6224
158,71721551.0272
159,71721561.8816
160,71721573.2224
161,71721584.256
162,71721595.456
163,71721606.6048
164,71721617.7536
165,71721629.8112
166,71721639.808
167,71721650.7392
168,71721661.8496
169,71721674.1888
170,71721684.16
171,71721695.1808
172,71721707.904
173,71721717.4656
174,71721729.6384
175,71721739.6352
176,71721750.7456
177,71721761.9456
178,71721772.992
179,71721784.6784
180,71721795.4176
181,71721806.2848
182,71721817.6512
183,71721829.0176
184,71721839.8848
185,71721850.9696
186,71721861.9008
187,71721873.3952
188,71721884.032
189,71721895.1936
190,71721906.432
191,71721917.696
192,71721928.7424
193,71721939.6736
194,71721950.7712
195,71721962.5344
196,71721973.1456
197,71721984.0256
198,71721995.3792
199,71722006.9504
200,71722017.4336
201,71722028.5056
202,71722039.6928
203,71722051.648
204,71722061.9136
205,71722072.9344
206,71722084.0192
207,71722095.9232
208,71722106.3168
209,71722117.6448
210,71722128.9216
211,71722140.0832
212,71722151.0016
213,71722161.8816
214,71722173.0816
215,71722184.4736
216,71722195.2
217,71722206.6688
218,71722217.4336
219,71722228.736
220,71722239.7952
221,71722250.752
222,71722262.1568
223,71722272.96
224,71722284.2112
225,71722296.5888
226,71722306.4064
227,71722317.632
228,71722328.5376
229,71722340.0832
230,71722350.7072
231,71722362.0608
232,71722372.9152
233,71722384.5248
234,71722395.3664
235,71722406.2976
236,71722417.4208
237,71722429.4144
238,71722439.6288
239,71722450.752
240,71722462.0928
241,71722473.4336
242,71722484.032
243,71722495.1552
244,71722506.4704
245,71722517.6064
246,71722528.6016
247,71722539.6736
248,71722550.7328
249,71722562.9696
250,71722572.9536
251,71722584.0768
252,71722595.1872
253,71722607.0016
254,71722617.6384
255,71722628.4928
256,71722639.872
257,71722651.3792
258,71722662.0544
259,71722673.0624
260,71722684.2496
261,71722696.0896
262,71722706.2912
263,71722717.6192
264,71722728.7808
265,71722740.1088
266,71722750.7584
267,71722762.0864
268,71722772.9536
269,71722785.1264
270,71722795.2384
271,71722806.2848
272,71722817.472
273,71722828.9536
274,71722839.8592
275,71722850.7392
276,71722861.8368
277,71722873.728
278,71722884.032
279,71722895.1296
280,71722906.2784
281,71722918.0672
282,71722928.8064
283,71722939.8784
284,71722951.0144
285,71722962.4704
286,71722973.4144
287,71722984.2816
288,71722995.136
289,71723006.9248
290,71723017.3312
291,71723028.5312
292,71723039.7312
293,71723051.6096
294,71723061.9904
295,71723072.96
296,71723084.3008
297,71723095.6416
298,71723106.4832
299,71723117.6576
300,71723128.7296
301,71723140.0832
302,71723150.72
303,71723162.1504
304,71723172.9536
305,71723184.2816
306,71723195.4176
307,71723206.3488
308,71723217.4208
309,71723229.4144
310,71723239.6672
311,71723250.9184
312,71723261.888
313,71723273.4592
314,71723284.2496
315,71723295.4496
316,71723306.4064
317,71723317.9648
318,71723328.4992
319,71723339.6096
320,71723351.0016
321,71723362.4064
322,71723372.9536
323,71723384.0896
324,71723395.2256
325,71723406.7712
326,71723417.4464
327,71723428.7872
328,71723439.5904
329,71723451.328
330,71723461.8624
331,71723472.9344
332,71723484.288
333,71723495.36
334,71723506.3808
335,71723517.6704
336,71723528.8064
337,71723540.3392
338,71723550.7072
339,71723561.9968
340,71723573.0432
341,71723585.1392
342,71723595.4048
343,71723606.3232
344,71723617.6256
345,71723629.2352
346,71723639.7184
347,71723650.9312
348,71723661.888
349,71723673.9584
350,71723684.0832
351,71723695.168
352,71723706.3552
353,71723717.8752
354,71723728.5504
355,71723739.7504
356,71723750.7584
357,71723762.368
358,71723772.992
359,71723784.128
360,71723795.2128
361,71723806.7712
362,71723817.3952
363,71723828.6976
364,71723839.7184
365,71723851.5072
366,71723862.3232
367,71723873.216
368,71723884.3008
369,71723895.232
370,71723906.2912
371,71723917.5296
372,71723928.6144
373,71723939.7888
374,71723951.9232
375,71723961.8688
376,71723973.2096
377,71723984.2816
378,71723995.6224
379,71724006.3104
380,71724017.5872
381,71724028.6336
382,71724040.2048
383,71724050.9952
384,71724061.9648
385,71724073.0496
386,71724084.6336
387,71724095.2192
388,71724106.304
389,71724117.44
390,71724129.8688
391,71724139.6608
392,71724150.7456
393,71724162.0608
394,71724173.44
395,71724184.2176
396,71724195.328
397,71724206.272
398,71724217.4336
399,71724229.568
400,71724239.7696
401,71724250.7776
402,71724262.016
403,71724272.9984
404,71724284.16
405,71724295.2832
406,71724306.3168
407,71724317.9648
408,71724328.5504
409,71724339.6352
